Contacts N 1,Contacts N 2,Contacts N 3,Contacts N 4,Contacts N 5,Contacts N 6,Contacts N 7,Date Created,New Market,New Type,Contacts N
21,6,11,7,14,5,6,2/4/2022,market_1,type_5,199
2,0,2,1,0,0,0,1/30/2022,market_1,type_1,19
0,2,2,0,1,0,1,2/14/2022,market_1,type_1,29
6,6,5,4,7,4,null,1/16/2022,market_1,type_2,120
27,13,null,14,4,3,2,2/3/2022,market_1,type_5,182
null,null,null,null,null,null,1,3/8/2022,market_1,type_4,3
1,null,1,null,null,null,null,3/5/2022,market_1,type_4,2
14,8,7,3,2,3,8,2/1/2022,market_1,type_2,262
2,3,1,null,null,1,2,1/4/2022,market_1,type_3,15
11,10,4,7,7,7,5,2/10/2022,market_1,type_2,258
28,9,13,8,5,12,8,1/11/2022,market_1,type_5,263
null,null,1,3,2,null,1,1/22/2022,market_1,type_3,6
null,null,null,null,null,null,null,2/2/2022,market_1,type_4,2
24,11,20,11,7,5,7,3/26/2022,market_1,type_5,206
0,0,0,1,0,0,0,2/13/2022,market_1,type_1,26
3,1,1,2,0,4,0,1/10/2022,market_1,type_1,44
4,5,1,0,0,0,3,3/14/2022,market_1,type_1,23
2,1,1,0,3,0,0,2/26/2022,market_1,type_1,18
null,1,null,null,1,2,1,2/10/2022,market_1,type_3,21
3,null,1,2,null,null,null,2/17/2022,market_1,type_3,9
12,6,10,5,8,4,3,1/30/2022,market_1,type_5,133
4,4,3,0,1,3,2,1/4/2022,market_1,type_1,44
null,null,null,null,null,null,null,1/5/2022,market_1,type_4,4
29,27,9,13,9,11,10,3/21/2022,market_1,type_5,211
5,10,5,10,8,3,6,1/29/2022,market_1,type_2,130
0,0,1,0,2,0,0,2/11/2022,market_1,type_1,37
2,6,3,1,0,0,0,1/20/2022,market_1,type_1,22
23,25,13,11,3,18,14,3/22/2022,market_1,type_2,503
2,1,4,null,2,2,null,3/18/2022,market_1,type_3,19
19,12,8,4,7,7,9,3/9/2022,market_1,type_2,306
1,0,0,2,2,0,4,2/4/2022,market_1,type_1,24
null,null,null,null,null,null,null,1/14/2022,market_1,type_4,5
5,8,4,3,6,4,5,1/8/2022,market_1,type_2,112
3,2,0,1,2,0,0,1/15/2022,market_1,type_1,32
10,3,6,3,4,5,8,2/17/2022,market_1,type_5,157
3,1,null,1,null,1,null,1/5/2022,market_1,type_3,17
7,8,13,7,2,4,2,1/10/2022,market_1,type_2,240
21,8,7,2,5,7,5,3/13/2022,market_1,type_5,145
4,1,1,1,0,0,0,1/27/2022,market_1,type_1,23
3,1,0,0,0,0,1,3/17/2022,market_1,type_1,32
3,1,2,null,1,null,null,2/19/2022,market_1,type_3,8
2,2,1,4,4,null,1,1/26/2022,market_1,type_3,21
null,null,null,null,1,null,null,1/11/2022,market_1,type_4,2
3,1,3,3,null,null,1,1/21/2022,market_1,type_3,11
3,11,5,7,14,4,6,2/23/2022,market_1,type_2,295
1,null,null,null,null,null,null,2/19/2022,market_1,type_4,
19,7,3,1,9,5,4,1/26/2022,market_1,type_2,249
null,null,null,null,null,null,null,1/25/2022,market_1,type_4,2
1,2,0,1,1,1,2,1/23/2022,market_1,type_1,20
25,13,11,9,7,4,9,3/3/2022,market_1,type_5,213
1,0,0,3,2,1,0,2/2/2022,market_1,type_1,28
20,13,4,4,1,6,4,2/14/2022,market_1,type_5,196
null,1,1,1,null,null,null,3/12/2022,market_1,type_4,1
null,1,null,1,null,null,null,3/27/2022,market_1,type_4,2
3,1,2,1,0,1,0,2/8/2022,market_1,type_1,31
29,19,15,4,14,10,9,2/28/2022,market_1,type_5,250
4,2,null,2,1,1,null,1/20/2022,market_1,type_3,11
2,1,0,0,1,0,1,2/20/2022,market_1,type_1,12
11,7,8,6,6,7,3,3/11/2022,market_1,type_2,346
2,7,2,4,7,4,2,1/23/2022,market_1,type_2,95
null,null,null,null,null,null,null,2/25/2022,market_1,type_4,3
27,8,2,11,3,7,6,1/20/2022,market_1,type_5,216
0,2,5,1,2,0,1,1/25/2022,market_1,type_1,24
null,null,null,null,1,null,null,2/11/2022,market_1,type_4,5
null,null,null,1,null,null,null,3/28/2022,market_1,type_4,5
11,5,10,15,8,6,3,3/31/2022,market_1,type_2,391
null,null,null,null,null,null,null,2/12/2022,market_1,type_4,
null,null,null,1,null,1,1,2/22/2022,market_1,type_4,9
null,null,null,1,null,null,null,1/15/2022,market_1,type_4,3
13,10,12,16,10,6,5,3/18/2022,market_1,type_2,266
8,6,6,7,4,4,3,1/21/2022,market_1,type_2,226
4,0,3,1,1,0,0,1/19/2022,market_1,type_1,25
null,null,null,null,null,null,null,2/8/2022,market_1,type_4,6
2,null,1,null,null,null,null,3/13/2022,market_1,type_4,2
9,13,8,6,7,3,7,1/29/2022,market_1,type_5,172
6,0,1,3,0,0,3,1/11/2022,market_1,type_1,28
2,2,2,0,2,2,2,1/2/2022,market_1,type_1,39
3,0,2,0,0,1,0,3/13/2022,market_1,type_1,36
0,4,0,2,1,0,2,3/1/2022,market_1,type_1,19
6,3,2,4,2,2,0,1/7/2022,market_1,type_1,45
4,1,null,1,2,1,1,2/22/2022,market_1,type_3,15
8,0,0,1,1,2,2,2/10/2022,market_1,type_1,31
5,9,2,6,7,3,7,1/5/2022,market_1,type_2,280
18,7,13,6,12,7,5,1/21/2022,market_1,type_5,227
7,1,1,0,0,0,1,3/15/2022,market_1,type_1,24
26,11,8,7,10,6,12,2/7/2022,market_1,type_5,208
17,13,5,3,2,1,2,2/12/2022,market_1,type_5,178
17,9,11,11,7,3,1,3/19/2022,market_1,type_5,152
20,10,4,8,9,13,3,2/24/2022,market_1,type_5,181
19,4,6,6,9,2,7,2/24/2022,market_1,type_2,276
8,7,1,2,4,7,3,2/5/2022,market_1,type_2,164
null,null,null,null,null,null,null,1/2/2022,market_1,type_4,1
1,null,null,null,null,null,null,2/26/2022,market_1,type_4,1
15,13,6,1,7,9,3,2/19/2022,market_1,type_5,150
27,10,12,6,7,3,3,3/28/2022,market_1,type_5,190
1,2,0,0,0,3,2,3/27/2022,market_1,type_1,22
16,10,9,7,7,4,7,2/5/2022,market_1,type_5,152
4,4,null,null,null,null,null,1/30/2022,market_1,type_3,9
12,10,4,3,5,13,4,2/8/2022,market_1,type_2,217
27,16,12,15,12,6,6,1/6/2022,market_1,type_5,214
17,12,15,9,4,5,5,2/25/2022,market_1,type_2,278
9,12,3,5,1,5,3,3/12/2022,market_1,type_2,232
null,4,2,1,1,null,null,2/16/2022,market_1,type_3,18
